tweet_id,create_time,screen_name,username,text,matched,positive
978852790314422274,Wed Mar 28 04:34:26 +0000 2018,srvivorsammy,"[u'@Vevo', u'@5SoS']","RT @Vevo The @5SoS world is turned upside down in ""Want You Back"" the first release in 2 years by the Aussie poppunk band ",True
978852728888799232,Wed Mar 28 04:34:11 +0000 2018,amiiee_newyork,[],"2764

#newyork #artist #musicians #concert #violin #violinist #streetmusicians #cilumbuscircle ",True
978852651965276160,Wed Mar 28 04:33:53 +0000 2018,kush_dad,[],what the fuck band sells only tapes shirts and back patches?,True
978852604422828032,Wed Mar 28 04:33:41 +0000 2018,lalina9200,"[u'@voguemagazine', u'@BTS_twt']",RT @voguemagazine Watch what happened when @BTS_twt the global Kpop phenomenon boarded a party bus with Vogue and took LA by storm h,True
978852600488648705,Wed Mar 28 04:33:40 +0000 2018,_sunshinechild,[u'@heartscamDBMK'],@heartscamDBMK I didn't know what to expect either It was my first legit concert and I'm so glad I went Wish we a ,True
978852582448943104,Wed Mar 28 04:33:36 +0000 2018,pea4rl,[u'@Surviving_Court'],RT @Surviving_Court So proud to have been a part of Stockata in my time at Stockton In the face of bigotry they offer their campus commu,True
978852523569270784,Wed Mar 28 04:33:22 +0000 2018,HARJGTHEONEDBA,[u'@AppleSupport'],@AppleSupport you of course have my original garage band file FIX IT  As you messed with since yesterday ,True
978852251740594177,Wed Mar 28 04:32:17 +0000 2018,LisagWilliams3,[u'@blakeshelton'],"@blakeshelton 
I love the voice I can't really sing that great but boy can I pick them and when I hear a good sing ",True
978852239019270144,Wed Mar 28 04:32:14 +0000 2018,TrueMetalNinja,[u'@BLABBERMOUTHNET'],RT @BLABBERMOUTHNET TWISTED SISTER Frontman DEE SNIDER Returns To Broadway In Epic Concert 'Rocktopia'  ,True
978852151702278145,Wed Mar 28 04:31:53 +0000 2018,LukeJamon,"[u'@Vevo', u'@5SoS']","RT @Vevo The @5SoS world is turned upside down in ""Want You Back"" the first release in 2 years by the Aussie poppunk band ",True
978852096647876609,Wed Mar 28 04:31:40 +0000 2018,iekasquishy,"[u'@Jeff__Benjamin', u'@Stray_Kids', u'@Billboard']",RT @Jeff__Benjamin Congratulations to @Stray_Kids for making their debut on @Billboard's Social 50 chart this week at No 45 Very promisi,True
978851919232950274,Wed Mar 28 04:30:58 +0000 2018,GabriellaWest,[u'@TheWhipNovel'],"RT @TheWhipNovel Q Who was the worldrenowned jazz singer and pianist known as the 201cDivine One?201d

A Sarah Vaughan March 27 1924 1990",True
978851897653301248,Wed Mar 28 04:30:53 +0000 2018,Pugggoo,[u'@ladygagaIoo'],"RT @ladygagaIoo Lady Gaga photographed in early 2008 by street photographer Geordie Wood 

When he asked her name she said ""I am Lady Ga",True
978851895245770755,Wed Mar 28 04:30:52 +0000 2018,Big80sStation,[],Now playing Gap Band  You Dropped A Bomb On Me commercialfree on ,True
978851853747347456,Wed Mar 28 04:30:42 +0000 2018,RachelBettenco1,[],Had a great conversation with 2 young men 23  25 tonight One is a veteran  musician Great reminiscing about a ,True
978851841789300737,Wed Mar 28 04:30:39 +0000 2018,noajenk,[u'@VGArtAndTidbits'],RT @VGArtAndTidbits Splatoon  Squid Sisters Concert from Paris promotional artwork ,True
978851771262078976,Wed Mar 28 04:30:23 +0000 2018,wzbc,"[u'@parshallythere', u'@daddyissuesband', u'@GreatScottROCK', u'@wzbc']",RT @parshallythere Couple initial shots from @daddyissuesband at @GreatScottROCK for @wzbc spring concert earlier #daddyissues #wzbc ,True
978851753151139840,Wed Mar 28 04:30:18 +0000 2018,muz4now,[],Marketing Your DIY Album Release  #band replay ,True
978851720020287488,Wed Mar 28 04:30:10 +0000 2018,TheWhipNovel,[],"Q Who was the worldrenowned jazz singer and pianist known as the 201cDivine One?201d

A Sarah Vaughan March 27 1924 ",True
